language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:d0a6fba11fb4a2c7f1e82adbed52314b,"Rhithropanopeus harrisii (Gould, 1841)",Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:d3c762fc58faad30a0e556c58132bfab,Potamothrix moldaviensis,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Potamothrix,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:d5028a9aef3ac5374515871a2f025ba0,Crangonyx pseudogracilis,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:dbdabe0712fe1eeeb9be1f6a7931ec16,Boccardiella ligerica,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:dd45c90466e83dc676c91fb2e463833d,Girardia tigrina,Animalia,Platyhelminthes,Rhabditophora,Seriata,Dugesiidae,Dugesia,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:e1d45b2e3414481b529f910ce7afc9a0,"Petricolaria pholadiformis Lamarck, 1818",Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Petricolaria,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:e4427930550df142ab1c33d646f8a78c,"Callinectes sapidus Rathbun, 1896",Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:f2ce2dd58ba0242611cd14b885cec37f,Quistadrilus multisetosus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Quistadrilus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:f3eda6e829b841f0c2b9b1600e421b85,Synurella ambulans,Animalia,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Synurella,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:f625e43fe11e865aa6a18adc009fba56,Boccardiella hamata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:f810b43b3506ddcd44b0732381e9bca0,Atyaephyra desmarestii,Animalia,Arthropoda,Malacostraca,Decapoda,Atyidae,Atyaephyra,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:f9767fd8439ecada0d85542fef6d95ad,Tasserkidrilus near americanus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tasserkidrilus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",INBO,"Checklist of alien species of the Scheldt estuary, Belgium",alien-scheldt-checklist:taxon:fb8cb89568d0468d8523465b56611b0a,Psammoryctides moravicus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Psammoryctides,species,ICZN
