taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,occurrenceRemarks,source
alien-scheldt-checklist:taxon:4b6eb5721fc16496c4092047f9cc79cc,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2002/,,"Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. https://doi.org/10.3391/ai.2013.8.1.04"
alien-scheldt-checklist:taxon:52280b81c6b277f031faa79ecde9fecf,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2019/2019,,unpublished records INBO
alien-scheldt-checklist:taxon:55f7ddf71c4e3d956b5e056a85032bde,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1993/,,
alien-scheldt-checklist:taxon:582fd8bca5df49e49c46b970d3a328c8,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2005/,,"Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10."
alien-scheldt-checklist:taxon:62e7496b276ce9f088c367d51394849d,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1996/,,"Faasse, M.; Van Moorsel, G. (2003). The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the Western Scheldt estuary (The Netherlands). Aquatic Ecology. 37(1): 13-22."
alien-scheldt-checklist:taxon:647f3f5d79c26df46062cb810e18cec2,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2003/,,"Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10."
alien-scheldt-checklist:taxon:7a948283be983f120a8cf4261cdc74b3,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2019/,,
alien-scheldt-checklist:taxon:7af67461b17eda2682d7cc027ff8943c,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2011/,first observerd before 2011,
alien-scheldt-checklist:taxon:7e40a62b49983413f87aebb98439fa84,ISO_3166-2:BE-VLG,Flanders,BE,present,uncertain,,,
alien-scheldt-checklist:taxon:817b6bed64bcfdc68ba9a14d3de0a262,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,2018/,,
