"scientific name","kingdom","phylum","class","order","family","genus","taxon rank","nomenclatural code","location","country code","occurrence status","origin","date first observation","date last observation","degree of establishment","introduction pathway","remarks","native range","realm","source","abundance","threat status","host","date added","added by","verified by","GBIF scientific name","GBIF matchtype","GBIF confidence","GBIF rank"
"Potamopyrgus antipodarum (J.E. Gray, 1843)","Animalia","Mollusca","Gastropoda","Littorinimorpha","Hydrobiidae","Potamopyrgus","species","ICZN","Flanders","BE","present","introduced","1927",NA,"casual","stowaway_ballast_water",NA,"Ocenania | Southern Pacific Ocean","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Potamopyrgus antipodarum (Gray, 1843)","EXACT",99,"SPECIES"
"Potamothrix heuscheri","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Potamothrix","species","ICZN","Flanders","BE","present","introduced","2014",NA,"established","corridor_water",NA,"Ponto-caspian","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44.  https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Potamothrix heuscheri (Bretscher, 1900)","EXACT",98,"SPECIES"
"Potamothrix moldaviensis","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Potamothrix","species","ICZN","Flanders","BE","present","introduced","2008",NA,"established","corridor_water",NA,"Ponto-caspian","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44.  https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Potamothrix moldaviensis (Vejdovský & Mrázek, 1903)","EXACT",98,"SPECIES"
"Potamothrix vejdovskyi","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Potamothrix","species","ICZN","Flanders","BE","present","introduced","2009",NA,"established","corridor_water",NA,"Ponto-caspian","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44.  https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Potamothrix vejdovskyi (Hrabe, 1941)","EXACT",98,"SPECIES"
"Proasellus meridianus","Animalia","Arthropoda","Malacostraca","Isopoda","Asellidae","Proasellus","species","ICZN","Flanders","BE","present","introduced","2014",NA,"casual","corridor_water",NA,"Mediterranean","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Proasellus meridianus (Racovitza, 1919)","EXACT",97,"SPECIES"
"Psammoryctides moravicus","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Psammoryctides","species","ICZN","Flanders","BE","present","introduced","2008",NA,"casual","corridor_water",NA,"Ponto-caspian","estuarine","https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Psammoryctides moravicus (Hrabe, 1934)","EXACT",98,"SPECIES"
"Quistadrilus multisetosus","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Quistadrilus","species","ICZN","Flanders","BE","present","introduced","1996","2020","established","stowaway",NA,"Northern America","estuarine","Soors, J., van Haaren, T., Tarmo, T., & Speybroeck, J. (2013). Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): A new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions, 8(1), 37-44. [10.3391/ai.2013.8.1.04]. https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Quistadrilus multisetosus (Smith, 1900)","EXACT",98,"SPECIES"
"Rangia cuneata","Animalia","Mollusca","Bivalvia","Veneroida","Mactridae","Rangia","species","ICZN","Flanders","BE","present","introduced","<2011",NA,"established","stowaway_ballast_water",NA,"Northern America","estuarine",NA,NA,NA,NA,"2020-07-03","Jan Soors",NA,"Rangia cuneata (G.B.Sowerby I, 1832)","EXACT",98,"SPECIES"
"Rhithropanopeus harrisii (Gould, 1841)","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","species","ICZN","Flanders","BE","present","introduced","1985",NA,"established","escape_aquaculture",NA,"Northern America","estuarine","Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Rhithropanopeus harrisii (Gould, 1841)","EXACT",99,"SPECIES"
"Sinelobus vanhaareni","Animalia","Arthropoda","Malacostraca","Tanaidacae","Tanaidae","Sinelobus","species","ICZN","Flanders","BE","present","introduced","2007",NA,"established","stowaway_ballast_water",NA,"unknown","estuarine","van Haaren, T., & Soors, J. (2009). Sinelobus stanfordi (Richardson, 1901): A new crustacean invader in Europe. Aquatic Invasions, 4(4), 703-711.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Sinelobus vanhaareni Bamber, 2014","EXACT",98,"SPECIES"
"Synidotea laticauda","Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Synidotea","species","ICZN","Flanders","BE","present","introduced","2005",NA,"established","stowaway_ballast_water",NA,"Northern America","estuarine","Soors, J., Faasse, M., Stevens, M., Verbessem, I., De Regge, N., & Van den Bergh, E. (2010). New crustacean invaders in the Schelde estuary (Belgium). BELGIAN JOURNAL OF ZOOLOGY, 140(1), 3-10.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Synidotea laticauda Benedict, 1897","EXACT",98,"SPECIES"
"Synurella ambulans","Animalia","Arthropoda","Malacostraca","Amphipoda","Crangonyctidae","Synurella","species","ICZN","Flanders","BE","present","uncertain","2018",NA,"casual","natural_dispersal","probably no alien but published like that","Europe","estuarine","Boets, P., Lock, K., & Goethals, P. (2010). First record of Synurella ambulans (Müller 1846) (Amphipoda: Crangonictidae) in Belgium. BELGIAN JOURNAL OF ZOOLOGY, 140(2), 244–245.",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Synurella ambulans (F.Müller, 1846)","EXACT",97,"SPECIES"
"Tasserkidrilus americanus","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Tasserkidrilus","species","ICZN","Flanders","BE","present","introduced","2006",NA,"established","stowaway",NA,"Northern America","estuarine","https://doi.org/10.3391/ai.2013.8.1.04",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Tasserkidrilus americanus (Brinkhurst & Cook, 1966)","EXACT",98,"SPECIES"
"Telmatogeton japonicus","Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Telmatogeton","species","ICZN","Flanders","BE","present","introduced","2019",NA,"established","stowaway_ship",NA,"Asia","estuarine",NA,NA,NA,NA,"2020-07-09","Jan Soors",NA,"Telmatogeton japonicus Tokunaga, 1933","EXACT",98,"SPECIES"
"Tubificoides heterochaetus (Michaelsen, 1926)","Animalia","Annelida","Clitellata","Haplotaxida","Naididae","Tubificoides","species","ICZN","Flanders","BE","present","uncertain","1996?",NA,"native","stowaway","probably no alien but published like that",NA,"estuarine","Wolff, W.j., 2005. Non-indigenous marine and estuarine species in The Netherlands. Zool. Med. Leiden 79 (1)",NA,NA,NA,"2020-07-03","Jan Soors",NA,"Tubificoides heterochaetus (Michaelsen, 1926)","EXACT",99,"SPECIES"
